epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.9463,1.62005,1.86049,1.20792,0.5619,0.4825,0.5219,0.34718,1.31222,1.33212,1.03953,0.000661333,0.000661333,0.000661333
2,175.608,1.31694,1.14921,1.04986,0.60472,0.52833,0.56361,0.39773,1.19432,1.22531,1.04356,0.00128418,0.00128418,0.00128418
3,262.414,1.23771,1.07442,1.02296,0.60178,0.57208,0.61168,0.43136,1.15594,1.08513,0.99925,0.00186302,0.00186302,0.00186302
4,346.998,1.19168,1.0286,1.01196,0.68028,0.59,0.67917,0.48875,1.08527,0.99596,0.97347,0.001802,0.001802,0.001802
5,428.943,1.15609,0.98988,0.99813,0.68124,0.59292,0.67993,0.48588,1.0969,1.00575,0.98428,0.001736,0.001736,0.001736
6,514.894,1.13765,0.97236,0.99167,0.69696,0.60565,0.69525,0.49708,1.07484,0.96667,0.97066,0.00167,0.00167,0.00167
7,597.925,1.13419,0.94726,0.99092,0.59442,0.60375,0.62339,0.45904,1.04213,1.00024,0.95372,0.001604,0.001604,0.001604
8,680.762,1.10503,0.93232,0.98537,0.66992,0.5925,0.65421,0.47829,1.03221,0.9467,0.96058,0.001538,0.001538,0.001538
9,763.587,1.09917,0.92167,0.98331,0.6589,0.605,0.67419,0.49973,1.02077,0.92952,0.95117,0.001472,0.001472,0.001472
10,849.235,1.07597,0.89442,0.9749,0.60768,0.5975,0.63989,0.47143,1.03899,1.00786,0.95068,0.001406,0.001406,0.001406
11,932.346,1.07702,0.90137,0.97807,0.75503,0.66139,0.75809,0.55015,1.00578,0.86046,0.95197,0.00134,0.00134,0.00134
12,1015.32,1.07153,0.88621,0.96736,0.66811,0.60917,0.67657,0.50227,1.02551,0.93789,0.94229,0.001274,0.001274,0.001274
13,1098.38,1.06351,0.8728,0.97268,0.69882,0.61874,0.71488,0.52935,1.00578,0.90748,0.94603,0.001208,0.001208,0.001208
14,1182.95,1.0552,0.86959,0.96587,0.56139,0.64796,0.6161,0.46523,0.97608,1.12888,0.93697,0.001142,0.001142,0.001142
15,1265.79,1.03833,0.84995,0.9627,0.64298,0.63958,0.68079,0.50635,0.99042,1.09842,0.93828,0.001076,0.001076,0.001076
16,1350.89,1.04499,0.84679,0.96242,0.60364,0.6675,0.66797,0.50083,0.96295,0.92438,0.93151,0.00101,0.00101,0.00101
17,1433.13,1.03429,0.84138,0.95971,0.65368,0.62958,0.68781,0.52185,0.95364,0.87908,0.92772,0.000944,0.000944,0.000944
18,1517.2,1.03027,0.81612,0.9555,0.72447,0.65333,0.74131,0.55556,0.9643,0.84428,0.92756,0.000878,0.000878,0.000878
19,1598.17,1.01767,0.80853,0.95316,0.71077,0.6799,0.74864,0.56331,0.96107,0.84227,0.92585,0.000812,0.000812,0.000812
20,1680.97,1.01284,0.79449,0.94951,0.72815,0.70292,0.77564,0.58014,0.95671,0.8464,0.93026,0.000746,0.000746,0.000746
21,1762.07,0.9868,0.81577,0.9532,0.62699,0.64293,0.67998,0.51114,0.97393,0.9796,0.92897,0.00068,0.00068,0.00068
22,1839.69,0.96343,0.77463,0.94979,0.76113,0.67417,0.77353,0.58032,0.96483,0.82186,0.9255,0.000614,0.000614,0.000614
23,1917.46,0.96904,0.76495,0.94304,0.75449,0.70333,0.78893,0.59129,0.94017,0.79599,0.92056,0.000548,0.000548,0.000548
24,1994.99,0.94636,0.74164,0.94153,0.79452,0.70167,0.80808,0.60343,0.9379,0.75794,0.92182,0.000482,0.000482,0.000482
25,2073.81,0.94163,0.73315,0.93646,0.74168,0.72042,0.79113,0.60146,0.92372,0.76768,0.9149,0.000416,0.000416,0.000416
26,2151.13,0.94923,0.73499,0.93904,0.78645,0.73502,0.8235,0.62279,0.92194,0.70874,0.9137,0.00035,0.00035,0.00035
27,2229.92,0.93237,0.71774,0.93547,0.79499,0.73,0.82159,0.62051,0.91566,0.7078,0.91312,0.000284,0.000284,0.000284
28,2307.15,0.92592,0.70426,0.93182,0.81093,0.73583,0.83368,0.63128,0.90983,0.69913,0.91017,0.000218,0.000218,0.000218
29,2384.11,0.91057,0.68751,0.92871,0.78891,0.74042,0.82305,0.62394,0.90663,0.71302,0.90704,0.000152,0.000152,0.000152
30,2461.21,0.91884,0.68976,0.92808,0.78863,0.77107,0.83981,0.63822,0.89862,0.68651,0.9041,8.6e-05,8.6e-05,8.6e-05
