epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8534,2.07387,3.6384,1.62383,0.02133,0.32323,0.03038,0.01411,1.41492,3.38533,1.25286,4e-05,4e-05,4e-05
2,39.1135,1.73332,3.45509,1.5388,0.02533,0.38384,0.03142,0.02243,1.36211,3.35344,1.21471,9.01e-05,9.01e-05,9.01e-05
3,55.4257,1.6202,3.20121,1.37923,0.03067,0.46465,0.06011,0.04082,1.38655,3.33143,1.18231,0.00012832,0.00012832,0.00012832
4,71.771,1.67369,3.022,1.3739,0.03733,0.56566,0.07151,0.03735,1.42912,3.27079,1.16232,0.00015466,0.00015466,0.00015466
5,84.9341,1.59213,2.68751,1.25613,0.04067,0.61616,0.08376,0.04441,1.38815,3.22669,1.13951,0.00016912,0.00016912,0.00016912
6,98.1258,1.54623,2.44939,1.23808,0.04133,0.62626,0.09682,0.04771,1.29935,3.14238,1.0908,0.0001717,0.0001717,0.0001717
7,114.788,1.486,2.18131,1.20575,0.04133,0.62626,0.10686,0.05794,1.2787,3.09175,1.07342,0.0001624,0.0001624,0.0001624
8,137.863,1.34839,1.98654,1.17945,0.04267,0.64646,0.17569,0.1165,1.27631,3.04138,1.06682,0.00014122,0.00014122,0.00014122
9,172.592,1.45563,1.88344,1.17289,0.04333,0.65657,0.27118,0.19268,1.25509,2.9922,1.06118,0.00010816,0.00010816,0.00010816
10,200.733,1.45138,1.89232,1.17143,0.044,0.66667,0.30685,0.21948,1.23267,2.95443,1.057,6.322e-05,6.322e-05,6.322e-05
